"audit_date","date_count","game_count","score_fields_present_any","winner_fields_present_any","probable_pitcher_present_any","first_game_pk","first_game_date","first_game_status"
"2026-06-28","1","15","False","False","True","824821","2026-06-28T17:35:00Z","Scheduled"
"2026-06-29","1","13","False","False","True","824822","2026-06-29T22:35:00Z","Scheduled"
"2026-06-30","1","15","False","False","True","824819","2026-06-30T22:35:00Z","Scheduled"
"2026-07-01","1","14","False","False","True","824818","2026-07-01T16:35:00Z","Scheduled"
"2026-07-02","1","9","False","False","True","823442","2026-07-02T16:35:00Z","Scheduled"
"2026-07-03","1","13","False","False","False","824659","2026-07-03T20:05:00Z","Scheduled"
"2026-07-04","1","15","False","False","False","822716","2026-07-04T15:05:00Z","Scheduled"
"2026-07-05","1","15","False","False","False","824902","2026-07-05T16:30:00Z","Scheduled"
"2026-07-06","1","8","False","False","False","824089","2026-07-06T18:10:00Z","Scheduled"
"2026-07-07","1","16","False","False","False","823062","2026-07-07T18:15:00Z","Scheduled"
"2026-07-08","1","15","False","False","False","823202","2026-07-08T19:45:00Z","Scheduled"
"2026-07-09","1","13","False","False","False","823359","2026-07-09T16:35:00Z","Scheduled"
"2026-07-10","1","15","False","False","False","824252","2026-07-10T22:40:00Z","Scheduled"
"2026-07-11","1","15","False","False","False","823682","2026-07-11T18:10:00Z","Scheduled"
"2026-07-12","1","15","False","False","False","823358","2026-07-12T16:15:00Z","Scheduled"
"2026-07-13","0","0","False","False","False",,,
"2026-07-14","1","1","False","False","False","823443","2026-07-15T00:00:00Z","Scheduled"
"2026-07-15","0","0","False","False","False",,,
"2026-07-16","1","1","False","False","False","823440","2026-07-16T23:10:00Z","Scheduled"
"2026-07-17","1","15","False","False","False","824766","2026-07-17T17:35:00Z","Scheduled"
"2026-07-18","1","15","False","False","False","824657","2026-07-18T18:20:00Z","Scheduled"
"2026-07-19","1","15","False","False","False","822786","2026-07-19T16:15:00Z","Scheduled"
"2026-07-20","1","15","False","False","False","824410","2026-07-20T22:40:00Z","Scheduled"
"2026-07-21","1","15","False","False","False","824409","2026-07-21T22:40:00Z","Scheduled"
"2026-07-22","1","15","False","False","False","823518","2026-07-22T17:35:00Z","Scheduled"
"2026-07-23","1","5","False","False","False","824893","2026-07-23T16:15:00Z","Scheduled"
"2026-07-24","1","15","False","False","False","823759","2026-07-24T20:10:00Z","Scheduled"
"2026-07-25","1","15","False","False","False","824244","2026-07-25T17:10:00Z","Scheduled"
"2026-07-26","1","15","False","False","False","822950","2026-07-26T16:15:00Z","Scheduled"
"2026-07-27","1","12","False","False","False","822868","2026-07-27T18:35:00Z","Scheduled"
